target_key	type	name
AHCY	protein	AHCY
AHR	protein	AHR
AK1	protein	AK1
AK2	protein	AK2
AK3	protein	AK3
AK4	protein	AK4
AK5	protein	AK5
AK6	protein	AK6
AK7	protein	AK7
AK8	protein	AK8
AK9	protein	AK9
AKAP13	protein	AKAP13
AKR1A1	protein	AKR1A1
AKR1B1	protein	AKR1B1
AKR1B10	protein	AKR1B10
AKR1C1	protein	AKR1C1
AKR1C3	protein	AKR1C3
AKT1	protein	AKT1
AKT2	protein	AKT2
AKT3	protein	AKT3
ALDH1A1	protein	ALDH1A1
ALDH1A2	protein	ALDH1A2
ALDH2	protein	ALDH2
ALDH3A1	protein	ALDH3A1
ALDH5A1	protein	ALDH5A1
ALDH7A1	protein	ALDH7A1
ALK	protein	ALK
ALKBH3	protein	ALKBH3
ALOX12	protein	ALOX12
ALOX15	protein	ALOX15
ALOX15B	protein	ALOX15B
ALOX5	protein	ALOX5
ALOX5AP	protein	ALOX5AP
ALPI	protein	ALPI
ALPL	protein	ALPL
ALPP	protein	ALPP
AMD1	protein	AMD1
AMPD1	protein	AMPD1
AMPD2	protein	AMPD2
AMPD3	protein	AMPD3
ANAPC7	protein	ANAPC7
ANO1	protein	ANO1
ANPEP	protein	ANPEP
AOC3	protein	AOC3
APCS	protein	APCS
APEH	protein	APEH
APEX1	protein	APEX1
APH1A	protein	APH1A
APH1B	protein	APH1B
APLNR	protein	APLNR
APOB	protein	APOB
APP	protein	APP
AQP1	protein	AQP1
AQP4	protein	AQP4
AR	protein	AR
ARF1	protein	ARF1
ARF4	protein	ARF4
ARFGAP1	protein	ARFGAP1
ARFGEF1	protein	ARFGEF1
ARFGEF2	protein	ARFGEF2
ARG1	protein	ARG1
ARG2	protein	ARG2
ARID1A	protein	ARID1A
ARRB2	protein	ARRB2
ASAH1	protein	ASAH1
ASIC1	protein	ASIC1
ASIC3	protein	ASIC3
ATAD2	protein	ATAD2
ATAD2B	protein	ATAD2B
ATAD5	protein	ATAD5
ATG4B	protein	ATG4B
ATIC	protein	ATIC
ATM	protein	ATM
ATOX1	protein	ATOX1
ATP1A1	protein	ATP1A1
ATP1A2	protein	ATP1A2
ATP1A3	protein	ATP1A3
ATP1A4	protein	ATP1A4
ATP1B1	protein	ATP1B1
ATP1B2	protein	ATP1B2
ATP1B3	protein	ATP1B3
ATP1B4	protein	ATP1B4
ATP2A1	protein	ATP2A1
ATP2A2	protein	ATP2A2
ATP2A3	protein	ATP2A3
ATP4A	protein	ATP4A
ATP4B	protein	ATP4B
ATP5F1A	protein	ATP5F1A
ATP5F1B	protein	ATP5F1B
ATP5MC1	protein	ATP5MC1
ATP5MC2	protein	ATP5MC2
ATP5MC3	protein	ATP5MC3
ATP5PF	protein	ATP5PF
ATP6V0A2	protein	ATP6V0A2
ATP6V1A	protein	ATP6V1A
ATP6V1B1	protein	ATP6V1B1
ATP6V1B2	protein	ATP6V1B2
ATP6V1C1	protein	ATP6V1C1
ATP6V1C2	protein	ATP6V1C2
ATP6V1E1	protein	ATP6V1E1
ATP6V1G1	protein	ATP6V1G1
ATP6V1H	protein	ATP6V1H
ATR	protein	ATR
ATRIP	protein	ATRIP
AURKA	protein	AURKA
AURKB	protein	AURKB
AURKC	protein	AURKC
AVPR1A	protein	AVPR1A
AVPR1B	protein	AVPR1B
AVPR2	protein	AVPR2
AXIN1	protein	AXIN1
AXIN2	protein	AXIN2
AXL	protein	AXL
BACE1	protein	BACE1
BACE2	protein	BACE2
BACH1	protein	BACH1
BANF1	protein	BANF1
BAX	protein	BAX
BAZ2A	protein	BAZ2A
BAZ2B	protein	BAZ2B
BCAT1	protein	BCAT1
BCAT2	protein	BCAT2
BCHE	protein	BCHE
BCL2	protein	BCL2
BCL2A1	protein	BCL2A1
BCL2L1	protein	BCL2L1
BCL2L2	protein	BCL2L2
BCR	protein	BCR
BDKRB1	protein	BDKRB1
BDKRB2	protein	BDKRB2
BGLAP	protein	BGLAP
BIRC2	protein	BIRC2
BIRC3	protein	BIRC3
BIRC5	protein	BIRC5
BLM	protein	BLM
BMI1	protein	BMI1
BMP1	protein	BMP1
BMP2	protein	BMP2
BMP2K	protein	BMP2K
BMP4	protein	BMP4
BMPR1A	protein	BMPR1A
BMPR1B	protein	BMPR1B
BPTF	protein	BPTF
BRAF	protein	BRAF
BRD1	protein	BRD1
BRD2	protein	BRD2
BRD3	protein	BRD3
BRD4	protein	BRD4
BRD7	protein	BRD7
BRD9	protein	BRD9
BRDT	protein	BRDT
BRPF1	protein	BRPF1
BRPF3	protein	BRPF3
BRS3	protein	BRS3
BTK	protein	BTK
BTRC	protein	BTRC
BUB1	protein	BUB1
C1R	protein	C1R
C1S	protein	C1S
C3	protein	C3
C3AR1	protein	C3AR1
C5	protein	C5
C5AR1	protein	C5AR1
CA1	protein	CA1
CA10	protein	CA10
CA11	protein	CA11
CA12	protein	CA12
CA13	protein	CA13
CA14	protein	CA14
CA2	protein	CA2
CA3	protein	CA3
CA4	protein	CA4
CA5A	protein	CA5A
CA5B	protein	CA5B
CA6	protein	CA6
CA7	protein	CA7
CA8	protein	CA8
CA9	protein	CA9
CACNA1A	protein	CACNA1A
CACNA1B	protein	CACNA1B
CACNA1C	protein	CACNA1C
CACNA1D	protein	CACNA1D
CACNA1E	protein	CACNA1E
CACNA1F	protein	CACNA1F
CACNA1G	protein	CACNA1G
CACNA1H	protein	CACNA1H
CACNA1I	protein	CACNA1I
CACNA1S	protein	CACNA1S
CACNA2D1	protein	CACNA2D1
CACNA2D2	protein	CACNA2D2
CACNA2D3	protein	CACNA2D3
CACNA2D4	protein	CACNA2D4
CACNB1	protein	CACNB1
CACNB2	protein	CACNB2
CACNB4	protein	CACNB4
CACNG1	protein	CACNG1
CACNG2	protein	CACNG2
CACNG3	protein	CACNG3
CACNG5	protein	CACNG5
CACNG8	protein	CACNG8
CAD	protein	CAD
CALCA	protein	CALCA
CALCB	protein	CALCB
CALCRL	protein	CALCRL
CALM1	protein	CALM1
CAMK1	protein	CAMK1
CAMK1D	protein	CAMK1D
CAMK1G	protein	CAMK1G
CAMK2A	protein	CAMK2A
CAMK2B	protein	CAMK2B
CAMK2D	protein	CAMK2D
CAMK2G	protein	CAMK2G
CAMKK1	protein	CAMKK1
CAMKK2	protein	CAMKK2
CAPN1	protein	CAPN1
CAPN2	protein	CAPN2
CARM1	protein	CARM1
CASP1	protein	CASP1
CASP10	protein	CASP10
CASP3	protein	CASP3
CASP6	protein	CASP6
CASP7	protein	CASP7
CASP8	protein	CASP8
CASP9	protein	CASP9
CASR	protein	CASR
CBR1	protein	CBR1
CBS	protein	CBS
CBX4	protein	CBX4
CBX6	protein	CBX6
CBX7	protein	CBX7
CCKAR	protein	CCKAR
CCKBR	protein	CCKBR
CCL2	protein	CCL2
CCNA1	protein	CCNA1
CCNA2	protein	CCNA2
CCNB1	protein	CCNB1
CCNB2	protein	CCNB2
CCNB3	protein	CCNB3
CCND1	protein	CCND1
CCND2	protein	CCND2
CCND3	protein	CCND3
CCNE1	protein	CCNE1
CCNE2	protein	CCNE2
CCNT1	protein	CCNT1
CCR1	protein	CCR1
CCR10	protein	CCR10
CCR2	protein	CCR2
CCR3	protein	CCR3
CCR4	protein	CCR4
CCR5	protein	CCR5
CCR6	protein	CCR6
CCR7	protein	CCR7
CCR8	protein	CCR8
CCR9	protein	CCR9
CD28	protein	CD28
CD38	protein	CD38
CD4	protein	CD4
CD80	protein	CD80
CDA	protein	CDA
CDC16	protein	CDC16
CDC20	protein	CDC20
CDC23	protein	CDC23
CDC25B	protein	CDC25B
CDC25C	protein	CDC25C
CDC27	protein	CDC27
CDC34	protein	CDC34
CDC42	protein	CDC42
CDC42BPA	protein	CDC42BPA
CDC42BPB	protein	CDC42BPB
CDC7	protein	CDC7
CDH2	protein	CDH2
CDK1	protein	CDK1
CDK16	protein	CDK16
CDK19	protein	CDK19
CDK2	protein	CDK2
CDK4	protein	CDK4
CDK5	protein	CDK5
CDK5R1	protein	CDK5R1
CDK6	protein	CDK6
CDK7	protein	CDK7
CDK8	protein	CDK8
CDK9	protein	CDK9
CDKL5	protein	CDKL5
CDKN1A	protein	CDKN1A
CDKN1B	protein	CDKN1B
CDYL2	protein	CDYL2
CEACAM5	protein	CEACAM5
CECR2	protein	CECR2
CEL	protein	CEL
CELA1	protein	CELA1
CENPE	protein	CENPE
CERK	protein	CERK
CERS1	protein	CERS1
CES1	protein	CES1
CES1P1	protein	CES1P1
CES2	protein	CES2
CES3	protein	CES3
CES5A	protein	CES5A
CETP	protein	CETP
CFB	protein	CFB
CFD	protein	CFD
CFI	protein	CFI
CFTR	protein	CFTR
CGAS	protein	CGAS
CHAT	protein	CHAT
CHEK1	protein	CHEK1
CHEK2	protein	CHEK2
CHIA	protein	CHIA
CHRM1	protein	CHRM1
CHRM2	protein	CHRM2
CHRM3	protein	CHRM3
CHRM4	protein	CHRM4
CHRM5	protein	CHRM5
CHRNA1	protein	CHRNA1
CHRNA10	protein	CHRNA10
CHRNA2	protein	CHRNA2
CHRNA3	protein	CHRNA3
CHRNA4	protein	CHRNA4
CHRNA5	protein	CHRNA5
CHRNA6	protein	CHRNA6
CHRNA7	protein	CHRNA7
CHRNA9	protein	CHRNA9
CHRNB1	protein	CHRNB1
CHRNB2	protein	CHRNB2
CHRNB3	protein	CHRNB3
CHRNB4	protein	CHRNB4
CHRND	protein	CHRND
CHRNE	protein	CHRNE
CHRNG	protein	CHRNG
CHUK	protein	CHUK
CKB	protein	CKB
CKBE	protein	CKBE
CKM	protein	CKM
CKMT1A	protein	CKMT1A
CKMT1B	protein	CKMT1B
CKMT2	protein	CKMT2
CLCA1	protein	CLCA1
CLCN2	protein	CLCN2
CLCN3	protein	CLCN3
CLCN7	protein	CLCN7
CLK1	protein	CLK1
CLK2	protein	CLK2
CLK4	protein	CLK4
CLRN1	protein	CLRN1
CMA1	protein	CMA1
CMKLR1	protein	CMKLR1
CNGA1	protein	CNGA1
CNGA2	protein	CNGA2
CNGA3	protein	CNGA3
CNGA4	protein	CNGA4
CNGB1	protein	CNGB1
CNGB3	protein	CNGB3
CNR1	protein	CNR1
CNR2	protein	CNR2
COASY	protein	COASY
COMT	protein	COMT
CPA1	protein	CPA1
CPB2	protein	CPB2
CPS1	protein	CPS1
CPT1A	protein	CPT1A
CPT1B	protein	CPT1B
CPT2	protein	CPT2
CRABP2	protein	CRABP2
CRAT	protein	CRAT
CRBN	protein	CRBN
CRCP	protein	CRCP
CREB1	protein	CREB1
CREBBP	protein	CREBBP
CRHR1	protein	CRHR1
CRHR2	protein	CRHR2
CRY1	protein	CRY1
CRY2	protein	CRY2
CSF1R	protein	CSF1R
CSK	protein	CSK
CSNK1A1	protein	CSNK1A1
CSNK1D	protein	CSNK1D
CSNK1E	protein	CSNK1E
CSNK2A1	protein	CSNK2A1
CSNK2A2	protein	CSNK2A2
CSNK2B	protein	CSNK2B
CTNNB1	protein	CTNNB1
CTRB1	protein	CTRB1
CTRC	protein	CTRC
CTSA	protein	CTSA
CTSB	protein	CTSB
CTSC	protein	CTSC
CTSD	protein	CTSD
CTSE	protein	CTSE
CTSF	protein	CTSF
CTSG	protein	CTSG
CTSK	protein	CTSK
CTSL	protein	CTSL
CTSL3P	protein	CTSL3P
CTSS	protein	CTSS
CTSV	protein	CTSV
CTSZ	protein	CTSZ
CX3CR1	protein	CX3CR1
CXCL13	protein	CXCL13
CXCR1	protein	CXCR1
CXCR2	protein	CXCR2
CXCR3	protein	CXCR3
CXCR4	protein	CXCR4
CXCR6	protein	CXCR6
CYBB	protein	CYBB
CYP11A1	protein	CYP11A1
CYP11B1	protein	CYP11B1
CYP11B2	protein	CYP11B2
CYP17A1	protein	CYP17A1
CYP19A1	protein	CYP19A1
CYP1A1	protein	CYP1A1
CYP1A2	protein	CYP1A2
CYP1B1	protein	CYP1B1
CYP21A2	protein	CYP21A2
CYP24A1	protein	CYP24A1
CYP26A1	protein	CYP26A1
CYP27A1	protein	CYP27A1
CYP27B1	protein	CYP27B1
CYP2A6	protein	CYP2A6
CYP2B6	protein	CYP2B6
CYP2C19	protein	CYP2C19
CYP2C9	protein	CYP2C9
CYP2D6	protein	CYP2D6
CYP2W1	protein	CYP2W1
CYP3A4	protein	CYP3A4
CYP3A5	protein	CYP3A5
CYP4A11	protein	CYP4A11
CYP4F2	protein	CYP4F2
CYP51A1	protein	CYP51A1
CYP7A1	protein	CYP7A1
CYSLTR1	protein	CYSLTR1
CYSLTR2	protein	CYSLTR2
CYTH1	protein	CYTH1
CYTH2	protein	CYTH2
DAGLA	protein	DAGLA
DAGLB	protein	DAGLB
DAO	protein	DAO
DAPK1	protein	DAPK1
DAPK3	protein	DAPK3
DBH	protein	DBH
DCAF15	protein	DCAF15
DCK	protein	DCK
DCPS	protein	DCPS
DCTPP1	protein	DCTPP1
DCUN1D1	protein	DCUN1D1
DDC	protein	DDC
DDR1	protein	DDR1
DDR2	protein	DDR2
DDX3X	protein	DDX3X
DDX5	protein	DDX5
DEGS1	protein	DEGS1
DGAT1	protein	DGAT1
DGAT2	protein	DGAT2
DHCR24	protein	DHCR24
DHCR7	protein	DHCR7
DHFR	protein	DHFR
DHH	protein	DHH
DHODH	protein	DHODH
DHPS	protein	DHPS
DIO1	protein	DIO1
DLAT	protein	DLAT
DNAJB1	protein	DNAJB1
DNASE1L3	protein	DNASE1L3
DNM1	protein	DNM1
DNM2	protein	DNM2
DNMT1	protein	DNMT1
DNMT3A	protein	DNMT3A
DOCK5	protein	DOCK5
DOT1L	protein	DOT1L
DPEP1	protein	DPEP1
DPP4	protein	DPP4
DPP7	protein	DPP7
DPP8	protein	DPP8
DPP9	protein	DPP9
DPYD	protein	DPYD
DRD1	protein	DRD1
DRD2	protein	DRD2
DRD3	protein	DRD3
DRD4	protein	DRD4
DRD5	protein	DRD5
DTYMK	protein	DTYMK
DUSP6	protein	DUSP6
DUT	protein	DUT
DYRK1A	protein	DYRK1A
DYRK1B	protein	DYRK1B
DYRK2	protein	DYRK2
DYRK3	protein	DYRK3
Dpp4	protein	Dpp4
EBP	protein	EBP
ECE1	protein	ECE1
ECE2	protein	ECE2
EDNRA	protein	EDNRA
EDNRB	protein	EDNRB
EED	protein	EED
EEF1A1	protein	EEF1A1
EGFR	protein	EGFR
EGLN1	protein	EGLN1
EGLN2	protein	EGLN2
EGLN3	protein	EGLN3
EHMT1	protein	EHMT1
EHMT2	protein	EHMT2
EIF2AK1	protein	EIF2AK1
EIF2AK2	protein	EIF2AK2
EIF2AK3	protein	EIF2AK3
EIF2B4	protein	EIF2B4
EIF4A1	protein	EIF4A1
EIF4A2	protein	EIF4A2
EIF4A3	protein	EIF4A3
EIF4E	protein	EIF4E
EIF4G1	protein	EIF4G1
ELANE	protein	ELANE
ELAVL1	protein	ELAVL1
ELOVL6	protein	ELOVL6
ELP1	protein	ELP1
EML4	protein	EML4
ENG	protein	ENG
ENOX2	protein	ENOX2
ENPEP	protein	ENPEP
ENPP2	protein	ENPP2
ENPP3	protein	ENPP3
ENPP4	protein	ENPP4
ENPP6	protein	ENPP6
EP300	protein	EP300
EPAS1	protein	EPAS1
EPHA2	protein	EPHA2
EPHB3	protein	EPHB3
EPHB4	protein	EPHB4
EPHX2	protein	EPHX2
EPRS1	protein	EPRS1
ERBB2	protein	ERBB2
ERBB3	protein	ERBB3
ERBB4	protein	ERBB4
ERCC1	protein	ERCC1
ERCC3	protein	ERCC3
ERCC4	protein	ERCC4
ERCC5	protein	ERCC5
ERN1	protein	ERN1
ESR1	protein	ESR1
ESR2	protein	ESR2
ESRRA	protein	ESRRA
ESRRG	protein	ESRRG
EWSR1	protein	EWSR1
EZH1	protein	EZH1
EZH2	protein	EZH2
F10	protein	F10
F11	protein	F11
F12	protein	F12
F2	protein	F2
F2R	protein	F2R
F2RL1	protein	F2RL1
F2RL3	protein	F2RL3
F7	protein	F7
F9	protein	F9
FAAH	protein	FAAH
FABP1	protein	FABP1
FABP12	protein	FABP12
FABP2	protein	FABP2
FABP3	protein	FABP3
FABP4	protein	FABP4
FABP5	protein	FABP5
FABP6	protein	FABP6
FABP7	protein	FABP7
FABP9	protein	FABP9
FADS1	protein	FADS1
FARS2	protein	FARS2
FASN	protein	FASN
FBP1	protein	FBP1
FBP2	protein	FBP2
FBXO3	protein	FBXO3
FCER1A	protein	FCER1A
FCER2	protein	FCER2
FDFT1	protein	FDFT1
FDPS	protein	FDPS
FEN1	protein	FEN1
FFAR1	protein	FFAR1
FFAR2	protein	FFAR2
FFAR3	protein	FFAR3
FFAR4	protein	FFAR4
FGF1	protein	FGF1
FGF2	protein	FGF2
FGF4	protein	FGF4
FGFR1	protein	FGFR1
FGFR2	protein	FGFR2
FGFR3	protein	FGFR3
FGFR3P1	protein	FGFR3P1
FGFR4	protein	FGFR4
FKBP1A	protein	FKBP1A
FKBP4	protein	FKBP4
FKBP5	protein	FKBP5
FLI1	protein	FLI1
FLNA	protein	FLNA
FLT1	protein	FLT1
FLT3	protein	FLT3
FLT4	protein	FLT4
FNTA	protein	FNTA
FNTB	protein	FNTB
FOLH1	protein	FOLH1
FOLR1	protein	FOLR1
FPR1	protein	FPR1
FPR2	protein	FPR2
FSHR	protein	FSHR
FUCA1	protein	FUCA1
FURIN	protein	FURIN
FUT3	protein	FUT3
FXYD2	protein	FXYD2
FYN	protein	FYN
FZD4	protein	FZD4
G6PC	protein	G6PC
GAA	protein	GAA
GABBR1	protein	GABBR1
GABBR2	protein	GABBR2
GABRA1	protein	GABRA1
GABRA2	protein	GABRA2
GABRA3	protein	GABRA3
GABRA4	protein	GABRA4
GABRA5	protein	GABRA5
GABRA6	protein	GABRA6
GABRB1	protein	GABRB1
GABRB2	protein	GABRB2
GABRB3	protein	GABRB3
GABRD	protein	GABRD
GABRE	protein	GABRE
GABRG1	protein	GABRG1
GABRG2	protein	GABRG2
GABRG3	protein	GABRG3
GABRP	protein	GABRP
GABRQ	protein	GABRQ
GABRR1	protein	GABRR1
GABRR2	protein	GABRR2
GAK	protein	GAK
GALR1	protein	GALR1
GALR2	protein	GALR2
GALR3	protein	GALR3
GANC	protein	GANC
GAPDH	protein	GAPDH
GART	protein	GART
GBA	protein	GBA
GBA2	protein	GBA2
GBF1	protein	GBF1
GCGR	protein	GCGR
GCK	protein	GCK
GFM1	protein	GFM1
GFRA1	protein	GFRA1
GGCX	protein	GGCX
GGPS1	protein	GGPS1
GGT1	protein	GGT1
GH1	protein	GH1
GHSR	protein	GHSR
GJA8	protein	GJA8
GJD2	protein	GJD2
GLA	protein	GLA
GLI1	protein	GLI1
GLO1	protein	GLO1
GLP1R	protein	GLP1R
GLRA1	protein	GLRA1
GLRA2	protein	GLRA2
GLRA3	protein	GLRA3
GLRA4	protein	GLRA4
GLS	protein	GLS
GMPS	protein	GMPS
GNA11	protein	GNA11
GNAQ	protein	GNAQ
GNRH1	protein	GNRH1
GNRHR	protein	GNRHR
GPBAR1	protein	GPBAR1
GPD1	protein	GPD1
GPD2	protein	GPD2
GPER1	protein	GPER1
GPR119	protein	GPR119
GPR139	protein	GPR139
GPR142	protein	GPR142
GPR17	protein	GPR17
GPR171	protein	GPR171
GPR183	protein	GPR183
GPR3	protein	GPR3
GPR34	protein	GPR34
GPR35	protein	GPR35
GPR4	protein	GPR4
GPR52	protein	GPR52
GPR55	protein	GPR55
GPR6	protein	GPR6
GPR65	protein	GPR65
GPR68	protein	GPR68
GPR84	protein	GPR84
GPR88	protein	GPR88
GPX4	protein	GPX4
GRB2	protein	GRB2
GRIA1	protein	GRIA1
GRIA2	protein	GRIA2
GRIA3	protein	GRIA3
GRIA4	protein	GRIA4
GRIK1	protein	GRIK1
GRIK2	protein	GRIK2
GRIK3	protein	GRIK3
GRIK4	protein	GRIK4
GRIK5	protein	GRIK5
GRIN1	protein	GRIN1
GRIN2A	protein	GRIN2A
GRIN2B	protein	GRIN2B
GRIN2C	protein	GRIN2C
GRIN2D	protein	GRIN2D
GRIN3A	protein	GRIN3A
GRIN3B	protein	GRIN3B
GRK1	protein	GRK1
GRK2	protein	GRK2
GRK3	protein	GRK3
GRM1	protein	GRM1
GRM2	protein	GRM2
GRM3	protein	GRM3
GRM4	protein	GRM4
GRM5	protein	GRM5
GRM6	protein	GRM6
GRM7	protein	GRM7
GRM8	protein	GRM8
GRPR	protein	GRPR
GSDMD	protein	GSDMD
GSK3A	protein	GSK3A
GSK3B	protein	GSK3B
GSTM2	protein	GSTM2
GSTP1	protein	GSTP1
GUCY1A1	protein	GUCY1A1
GUCY1A2	protein	GUCY1A2
GUCY1B1	protein	GUCY1B1
GUCY1B2	protein	GUCY1B2
GUCY2C	protein	GUCY2C
GYS1	protein	GYS1
GZMB	protein	GZMB
HASPIN	protein	HASPIN
HAT1	protein	HAT1
HBB	protein	HBB
HCAR2	protein	HCAR2
HCAR3	protein	HCAR3
HCK	protein	HCK
HCN1	protein	HCN1
HCN2	protein	HCN2
HCN3	protein	HCN3
HCN4	protein	HCN4
HCRT	protein	HCRT
HCRTR1	protein	HCRTR1
HCRTR2	protein	HCRTR2
HDAC1	protein	HDAC1
HDAC10	protein	HDAC10
HDAC11	protein	HDAC11
HDAC2	protein	HDAC2
HDAC3	protein	HDAC3
HDAC4	protein	HDAC4
HDAC5	protein	HDAC5
HDAC6	protein	HDAC6
HDAC7	protein	HDAC7
HDAC8	protein	HDAC8
HDAC9	protein	HDAC9
HDC	protein	HDC
HEXA	protein	HEXA
HEXB	protein	HEXB
HGF	protein	HGF
HHAT	protein	HHAT
HIF1A	protein	HIF1A
HINT1	protein	HINT1
HK2	protein	HK2
HM13	protein	HM13
HMGB1	protein	HMGB1
HMGB2	protein	HMGB2
HMGCR	protein	HMGCR
HMOX1	protein	HMOX1
HNMT	protein	HNMT
HP	protein	HP
HPD	protein	HPD
HPGD	protein	HPGD
HPGDS	protein	HPGDS
HPN	protein	HPN
HPRT1	protein	HPRT1
HPSE	protein	HPSE
HRH1	protein	HRH1
HRH2	protein	HRH2
HRH3	protein	HRH3
HRH4	protein	HRH4
HSD11B1	protein	HSD11B1
HSD11B2	protein	HSD11B2
HSD17B1	protein	HSD17B1
HSD17B10	protein	HSD17B10
HSD17B11	protein	HSD17B11
HSD17B12	protein	HSD17B12
HSD17B13	protein	HSD17B13
HSD17B14	protein	HSD17B14
HSD17B2	protein	HSD17B2
HSD17B3	protein	HSD17B3
HSD17B4	protein	HSD17B4
HSD17B6	protein	HSD17B6
HSD17B7	protein	HSD17B7
HSD17B8	protein	HSD17B8
HSD3B1	protein	HSD3B1
HSD3B2	protein	HSD3B2
HSD3B7	protein	HSD3B7
HSP90AA1	protein	HSP90AA1
HSP90AB1	protein	HSP90AB1
HSP90B1	protein	HSP90B1
HSPA1A	protein	HSPA1A
HSPA2	protein	HSPA2
HSPA4	protein	HSPA4
HSPA8	protein	HSPA8
HSPB1	protein	HSPB1
HTR1A	protein	HTR1A
HTR1B	protein	HTR1B
HTR1D	protein	HTR1D
HTR1E	protein	HTR1E
HTR1F	protein	HTR1F
HTR2A	protein	HTR2A
HTR2B	protein	HTR2B
HTR2C	protein	HTR2C
HTR3A	protein	HTR3A
HTR3B	protein	HTR3B
HTR3C	protein	HTR3C
HTR3D	protein	HTR3D
HTR3E	protein	HTR3E
HTR4	protein	HTR4
HTR5A	protein	HTR5A
HTR6	protein	HTR6
HTR7	protein	HTR7
HTRA1	protein	HTRA1
HTRA2	protein	HTRA2
IARS1	protein	IARS1
ICAM1	protein	ICAM1
ICMT	protein	ICMT
IDE	protein	IDE
IDH1	protein	IDH1
IDH2	protein	IDH2
IDO1	protein	IDO1
IGF1R	protein	IGF1R
IGFBP4	protein	IGFBP4
IGHE	protein	IGHE
IHH	protein	IHH
IKBKB	protein	IKBKB
IKBKE	protein	IKBKE
IKBKG	protein	IKBKG
IL10	protein	IL10
IL1B	protein	IL1B
IL2	protein	IL2
IL4	protein	IL4
IL5	protein	IL5
IL5RA	protein	IL5RA
IL6	protein	IL6
ILK	protein	ILK
IMPA1	protein	IMPA1
IMPDH1	protein	IMPDH1
IMPDH2	protein	IMPDH2
INPPL1	protein	INPPL1
INSR	protein	INSR
IRAK1	protein	IRAK1
IRAK2	protein	IRAK2
IRAK4	protein	IRAK4
ITGA2B	protein	ITGA2B
ITGA3	protein	ITGA3
ITGA4	protein	ITGA4
ITGA5	protein	ITGA5
ITGA6	protein	ITGA6
ITGAL	protein	ITGAL
ITGAV	protein	ITGAV
ITGB1	protein	ITGB1
ITGB2	protein	ITGB2
ITGB3	protein	ITGB3
ITGB5	protein	ITGB5
ITGB6	protein	ITGB6
ITK	protein	ITK
ITPKB	protein	ITPKB
ITPR1	protein	ITPR1
ITPR2	protein	ITPR2
ITPR3	protein	ITPR3
JAK1	protein	JAK1
JAK2	protein	JAK2
JAK3	protein	JAK3
JUN	protein	JUN
KAT2A	protein	KAT2A
KAT2B	protein	KAT2B
KAT5	protein	KAT5
KAT6A	protein	KAT6A
KAT6B	protein	KAT6B
KCNA1	protein	KCNA1
KCNA2	protein	KCNA2
KCNA3	protein	KCNA3
KCNA4	protein	KCNA4
KCNA5	protein	KCNA5
KCNA6	protein	KCNA6
KCNA7	protein	KCNA7
KCNAB2	protein	KCNAB2
KCNC1	protein	KCNC1
KCNC2	protein	KCNC2
KCNC3	protein	KCNC3
KCND2	protein	KCND2
KCND3	protein	KCND3
KCNE1	protein	KCNE1
KCNE2	protein	KCNE2
KCNE3	protein	KCNE3
KCNE4	protein	KCNE4
